GEOID,assignment
060133451122,4
060133451123,4
060133451124,4
060133451131,4
060133451132,4
060133451141,4
060133451142,4
060133451143,4
060133451144,4
060133451151,4
060133451152,4
060133451153,4
060133451161,4
060133451162,4
060133451171,4
060133451172,4
060133451173,4
060133451181,4
060133451182,4
060133452031,3
060133452032,4
060133452033,4
060133452034,4
060133452041,4
060133452042,4
060133452051,4
060133452052,4
060133452053,3
060133452061,4
060133452062,4
060133461011,4
060133461012,4
060133461021,4
060133461022,4
060133461023,4
060133461024,4
060133462031,4
060133462032,4
060133462041,4
060133462042,4
060133462043,4
060133462044,4
060133462051,4
060133462052,4
060133462061,4
060133462062,4
060133470001,4
060133470002,3
060133470003,3
060133480001,3
060133480002,3
060133480003,3
060133490001,3
060133490002,3
060133490003,3
060133500001,3
060133500002,3
060133500003,3
060133500004,3
060133511011,3
060133511012,3
060133511013,3
060133511031,3
060133511032,3
060133511041,3
060133511042,3
060133511043,3
060133511051,3
060133511052,3
060133512001,3
060133512002,3
060133512003,3
060133521011,3
060133521021,4
060133521022,4
060133521023,4
060133521024,3
060133522011,3
060133522012,4
060133522013,3
060133522021,4
060133530011,3
060133530012,3
060133530013,3
060133530021,3
060133530022,3
060133530023,3
060133530024,3
060133540011,3
060133540021,3
060133540022,3
060133540023,3
060133540024,3
060133551071,4
060133551072,4
060133551073,4
060133551091,4
060133551092,4
060133551093,4
060133551094,4
060133551101,4
060133551102,4
060133551111,4
060133551112,4
060133551113,4
060133551121,4
060133551122,4
060133551123,4
060133551131,4
060133551132,4
060133551133,4
060133551151,4
060133551152,4
060133551153,4
060133551181,4
060133551182,4
060133551191,4
060133551192,4
060133551201,4
060133551202,4
060133551211,4
060133551212,4
060133551213,4
060133551221,4
060133551222,4
060133551223,4
060133551231,4
060133551232,4
060133551241,4
060133551242,4
060133551243,4
060133551251,4
060133551252,4
060133551261,4
060133551262,4
060133552011,3
060133552012,3
060133552013,3
060133552021,3
060133552022,3
060133553021,4
060133553022,4
060133553023,4
060133553061,4
060133553062,4
060133553063,4
060133553064,4
060133553065,4
060133553071,4
060133553072,4
060133553081,4
060133553082,4
060133553083,4
060133553091,4
060133553092,4
060133553093,4
060133553101,4
060133553102,4
060133560011,3
060133560012,3
060133560013,3
060133560021,3
060133560022,3
060133570001,3
060133570002,3
060133570003,3
060133580001,3
060133580002,3
060133580003,3
060133580004,3
060133580005,3
060133591021,3
060133591022,3
060133591023,3
060133591031,3
060133591032,3
060133591033,3
060133591034,3
060133591041,3
060133591051,3
060133591052,3
060133592021,3
060133592022,3
